Feature,Number of datasets,Median auROC,Median log FC,Partition
AKR1C3,4,0.7627203102836598,0.8273226004080704,5
LGALS3BP,6,0.799450116571826,0.777101093124785,5
SNX2,3,0.8156042737936798,0.7640255139774248,5
RMDN3,3,0.7502073087528092,0.761945349241999,5
PCOLCE2,8,0.7973175323579968,0.7593649591144358,5
SEPT11,3,0.7497304954932074,0.7485606396780973,5
SPN,3,0.6959030757426775,0.7139077260860482,5
PPARG,6,0.8083133436007668,0.709671222909191,5
MDH1,3,0.8225717422785793,0.7081001197798142,5
PDLIM1,3,0.7818020332313074,0.7031353936528644,5
BSG,7,0.7869028749453433,0.6994004268583923,5
AKR1B1,3,0.790471087827916,0.698289589441022,5
PEBP1,5,0.7684085637000336,0.6958636047247517,5
SOD1,3,0.7729845956718203,0.6920474171170887,5
COMT,5,0.7121068314675248,0.6805688246973127,5
SCD,5,0.6924586712722306,0.6704282166194896,5
DECR1,9,0.7561127836458232,0.6663485106953106,5
GYPC,3,0.7810406378688317,0.6575213976573556,5
PPIC,3,0.8341266061530379,0.6567415882891314,5
MME,5,0.7045990732431411,0.6518776468713311,5
PLBD1,6,0.7847085106135674,0.6478742914855407,5
CITED2,3,0.7518389652579112,0.6197806567229864,5
PLA2G16,4,0.7783174118822289,0.6124829886095565,5
APIP,4,0.8072895614207736,0.6047934154954959,5
NUCB1,3,0.7329213599064872,0.577675370051884,5
AQP3,6,0.7627638138694316,0.5721163305409641,5
GPD1,7,0.7651573797442153,0.5495797577990854,5
RHBDD2,3,0.7337977425221184,0.5463278366008266,5
PHLDA3,4,0.7782828330441277,0.5443197324386372,5
RP5-839B4.8,4,0.8090419581791759,0.531924802676224,5
HDDC2,4,0.7787822811687197,0.5215071003667394,5
EML4,3,0.6972340827268985,0.5208378406814544,5
ABCG1,5,0.7624313865314797,0.494508102386892,5
CD151,3,0.7657251786718716,0.4929889886713408,5
MLPH,3,0.7499674622365854,0.4105507700936775,5
HMOX2,3,0.7518110472586585,0.2949916330511225,5
FABP4,2,0.8509260512478177,2.461351832348157,6
LGALS3,2,0.7996299191962901,1.2243532745135577,6
RBP4,2,0.7908129284047098,1.148903468512572,6
SCD,2,0.8295367403668579,1.0820713952131154,6
NUPR1,3,0.792005346590403,1.0522294070973515,6
PPDPF,3,0.7748219940698308,0.8291333685243842,6
CES1,2,0.7178337920298388,0.6402604955294033,6
ATF4,2,0.7327649684803239,0.5788693697719741,6
MGST1,2,0.6903662414615482,0.5599845646351075,6
CYB5A,2,0.7203457253110073,0.5398689966206178,6
SQSTM1,2,0.7165820194191895,0.5364259063976289,6
CNBP,2,0.7101359053236452,0.534272214873763,6
CSDE1,2,0.7010079457134403,0.45690915299341245,6
HPGD,2,0.6818943291282751,0.44861332165597945,6
C12orf57,2,0.7354804430099893,0.4271206084651275,6
C1orf43,2,0.6942309482725999,0.41711162957351755,6
MDM2,2,0.6954591868604092,0.410807652944458,6
NMB,3,0.6570434053897228,0.396667050536994,6
TMEM38B,2,0.7153660831395108,0.37634307620214025,6
BLOC1S2,2,0.6728425759388901,0.3754783616632351,6
KIF5B,2,0.6775262813564338,0.36121400851435154,6
ADTRP,2,0.7041549774282251,0.3561538627437015,6
DEFB1,2,0.6416546827793047,0.34687285385607586,6
SARS,2,0.7092305264863998,0.3388840933468571,6
HSPA9,2,0.6820535967697469,0.33744448492475565,6
CCPG1,3,0.6817531314924259,0.3115520211904692,6
CAMP,2,0.6416327840978768,0.2932970208929192,6
OPTN,2,0.6605365381304131,0.2517326954168312,6
CXCL10,7,0.803155387797108,1.8596621170147982,7
CXCL9,7,0.7471021036762375,1.4455064575235723,7
SOD2,3,0.8304834971629506,1.3672219890135564,7
GBP1,7,0.8414192043721681,1.3584060424296234,7
C15orf48,5,0.7825236635221572,1.2165410275096589,7
WARS,2,0.8286837687510156,1.1407135531097126,7
PSME2,5,0.7987811270574343,0.9864061044897382,7
HLA-B,2,0.708016344868529,0.9544073489153422,7
TYMP,4,0.7888765399885471,0.9519202506395984,7
STAT1,6,0.8079471850460234,0.9455804610855019,7
LAP3,7,0.8238983457204507,0.9374910332446896,7
FAM26F,6,0.750313584378427,0.8958322360440478,7
VAMP5,6,0.7718274553789805,0.8774146259243348,7
ISG15,5,0.7013442020298889,0.8737029026064322,7
CXCL11,6,0.69440016182362585,0.8086102596957518,7
TNFSF13B,5,0.7645055740207694,0.7744142774213667,7
GBP4,7,0.7491819012460301,0.7581537878266555,7
PLEK,6,0.7171595520613194,0.7498725574316689,7
HLA-A,3,0.7596471907253384,0.7280531688737004,7
GBP2,5,0.7097466634699912,0.7097324957403062,7
NINJ1,4,0.7285246217827248,0.7047879858348935,7
GBP5,7,0.7244305921841285,0.6855146312933311,7
MX1,2,0.7007250889084194,0.6564942029995915,7
FYB,2,0.678061558004988,0.6491517346318609,7
TAP1,2,0.747229594128197,0.6418650243028183,7
RNF213,3,0.7126500738088045,0.6381593624470283,7
PSMB9,3,0.7500258424643373,0.6285881952539942,7
IFIT3,3,0.6897920025903959,0.6276742900498703,7
RARRES3,6,0.7195795912605549,0.6080630774464957,7
PARP14,5,0.7177879525855188,0.6057213318630518,7
SLAMF7,2,0.721363265377541,0.6050793945322956,7
PSTPIP2,3,0.7324318708543115,0.6050271661641202,7
CD40,2,0.682456881130927,0.5692166131825125,7
EPSTI1,4,0.7187150545364067,0.5563576564370452,7
UBE2L6,3,0.7360765400986901,0.5559746079817047,7
PLEKHO1,3,0.7000663952545284,0.541926223361415,7
TAPBP,2,0.7291861860889441,0.5389338484438821,7
TNFSF10,2,0.6803094189077424,0.5370661863424309,7
CTSH,2,0.6892816868519648,0.530360758924979,7
DRAM1,2,0.7071055079678574,0.5196492121153136,7
FCGR1A,6,0.6715803801919131,0.5145245533188265,7
BST2,2,0.7047172427899657,0.5074293950430271,7
IFI35,3,0.703756093662591,0.5038931503986646,7
LILRB4,2,0.7149421556607993,0.4988469985664039,7
ICAM1,3,0.6615672274170848,0.484740288458499,7
IFIT2,2,0.6514130800301269,0.4795942824366277,7
POMP,3,0.6429745357962514,0.4793254198968042,7
PSMB8,2,0.6991194872350011,0.4691458445569401,7
SAMD9L,3,0.6468793095778282,0.43473039110098555,7
CD47,2,0.6529875995083654,0.43145102949575426,7
SLC39A8,2,0.6495200384895746,0.4197041071935958,7
DYNLT1,2,0.6596740824739123,0.4059538630119422,7
IGSF6,2,0.6532619115432077,0.4008205782983465,7
SQRDL,2,0.646350774272497,0.38933204158938456,7
XAF1,2,0.6556108534629764,0.38428246434985325,7
IFI44L,3,0.6600078475584146,0.3756119857118589,7
ANKRD22,5,0.6523846629971042,0.36484938831406766,7
SLAMF8,3,0.6660549501023008,0.3629586367958212,7
APOL6,2,0.6413241280694011,0.35301980142641065,7
CD38,2,0.672331397912606,0.3420230146416712,7
APOL3,2,0.6250817206330146,0.3309548788052301,7
TFEC,2,0.6329340980341616,0.3076994474695557,7
IFIH1,2,0.6295570997741983,0.27987147355108577,7
BIRC3,11,0.9315428280945522,2.595683708771687,8
CCR7,10,0.9198105742079477,2.3160561122113514,8
RGS1,4,0.8929230259199796,2.0264216661241328,8
CCL22,8,0.854612865635199,1.8686552753700618,8
ID2,7,0.8945350461613216,1.8415570625151916,8
MARCKSL1,10,0.8852737441616432,1.8216815752228175,8
LAMP3,11,0.9499784721367942,1.6782766491312353,8
CD83,10,0.8631105597972931,1.6511234374279402,8
FSCN1,10,0.8971551714335688,1.6482526029221511,8
CSF2RA,10,0.9138176289067528,1.6330411790505581,8
TXN,9,0.8321185617103984,1.518259340801669,8
REL,8,0.8516900399519183,1.4489219428551867,8
CST7,8,0.843783317372659,1.4275610446660951,8
BTG1,7,0.8607805583644168,1.423089867563344,8
PPA1,8,0.8668034476925364,1.4026224718896902,8
IL7R,8,0.8441291526384926,1.331320364414545,8
LSP1,7,0.8849709213345577,1.3017663811201794,8
BASP1,5,0.7599898396110023,1.2930522774605722,8
IDO1,7,0.7664690293792021,1.2847983198610127,8
CDKN1A,5,0.8546867407677357,1.2782317020841782,8
RASSF4,8,0.8555687549641431,1.2453127638544177,8
PNRC1,7,0.842093715402306,1.231490515262727,8
NUB1,9,0.8166878477223305,1.231254487510805,8
DUSP4,6,0.8231278823026427,1.2006394238191658,8
DAPP1,10,0.8732221980776075,1.1237837313908603,8
CFLAR,9,0.8663165435254802,1.1171566352454698,8
TBC1D4,5,0.7509831698240866,1.095736960470618,8
NFKB1,5,0.7119889054619264,1.065845195523782,8
STK4,9,0.8601092219193861,1.0622814716739797,8
FNBP1,9,0.82912193880626,1.0595145642698744,8
EBI3,5,0.7867632522804937,1.0085549540279821,8
EEF1A1,7,0.8464224975704567,0.9822158288807499,8
SYNGR2,8,0.8210990140971989,0.972580268535621,8
ZFAS1,5,0.7717152294305227,0.9677899362957659,8
GABARAPL2,8,0.8331134254155077,0.9613135189586954,8
MAP3K13,4,0.809653858047275,0.952141438915801,8
DUSP5,6,0.778261565944221,0.9344844483954944,8
PTPN1,6,0.7892491938548977,0.8979465885343446,8
MARCKS,4,0.7935243917173559,0.8848563423003082,8
NRP2,4,0.8386674732879102,0.875093324363633,8
MGLL,5,0.8055327498342586,0.8662277776998863,8
LAD1,6,0.7911380171668343,0.8364563284266155,8
RFTN1,8,0.8459523018795088,0.8271478007323755,8
TRAF1,4,0.8283145907910264,0.820095745902308,8
GPR157,7,0.8603012633624878,0.8190573104450232,8
KIF2A,4,0.7160044293324322,0.8136773860226685,8
JAK1,4,0.8191946946773594,0.8118207333943461,8
CLIC2,9,0.8086941030771844,0.807181781731412,8
RELB,8,0.8263094965760344,0.7944679734152134,8
IL2RG,4,0.7909779921427892,0.7685153793592788,8
RNASE1,10,0.8239407427547457,1.8219411275301947,9
SEPP1,10,0.8213819096098949,1.6137999557497364,9
MS4A6A,7,0.8185446392542517,1.2342242806592103,9
FOLR2,11,0.8002313451829678,1.224546193722907,9
CCL2,4,0.6937283795457688,1.1014373069534862,9
LGMN,7,0.7894423665552189,1.052258350102611,9
CD163,5,0.7925296597034065,0.9680522214920252,9
F13A1,10,0.786429894537834,0.9660209258828308,9
MAFB,8,0.7470066865043898,0.9031566773020008,9
CCL13,7,0.6955430913642529,0.8913681614545522,9
PLTP,11,0.7412855447627229,0.8003484997783696,9
PDK4,5,0.717345830442396,0.7941982776749041,9
DAB2,10,0.7417016973620765,0.7766464469232599,9
CSF1R,4,0.7597573455022694,0.7761097706909865,9
STAB1,10,0.7300966405364508,0.7238713622537377,9
SLC40A1,11,0.7225967421229734,0.7232280027701734,9
CPM,5,0.7335450600764308,0.715035831145248,9
SLCO2B1,10,0.754783484310251,0.7148293303619573,9
TMEM176A,4,0.7122932999036036,0.6975462320281318,9
FCGR2A,7,0.7252050668686502,0.6909830393488616,9
MS4A4A,6,0.7013648823610179,0.6649741348960649,9
A2M,9,0.7149067563850101,0.6477592175883893,9
TGFBI,7,0.7016712233118876,0.6430771358244731,9
PMP22,8,0.6925245933947095,0.6057575582935757,9
RBPJ,8,0.6983887590637987,0.5799613441609249,9
CD84,4,0.7179275959926668,0.5660649041858525,9
GPR34,9,0.6975510548709082,0.5551389327262609,9
FPR3,4,0.6862232811231341,0.5504855742739675,9
MFSD1,7,0.6928363363363363,0.48329568565450787,9
KCTD12,10,0.6934689389844919,0.4821926176219834,9
ARHGAP18,7,0.6590569917926351,0.45937270726573143,9
C3AR1,6,0.66179599371418385,0.4581761562036001,9
MAF,8,0.6588296598406344,0.43467994104755225,9
LY96,4,0.6405570472263198,0.4108491468730925,9
AP2A2,8,0.6475630536831047,0.403355352215497,9
MERTK,6,0.665987056254284,0.3980943150105279,9
SNX6,4,0.6364251723176884,0.3829164240762279,9
LILRB5,8,0.6316571699064375,0.34251979421073836,9
TTYH3,5,0.6321989387047866,0.33852604931054453,9
AP1B1,5,0.6310341780640353,0.33470493490041026,9
FRMD4B,5,0.6223148270258837,0.30724917716299677,9
SPP1,3,0.7870156579142917,1.7709609333065819,10
GPNMB,3,0.8768218736916868,1.545427665984904,10
CHIT1,3,0.767222381058678,1.224435807579401,10
CHI3L1,4,0.7321100339959317,1.0497058037129692,10
LIPA,4,0.7861065940742806,1.0463945897433158,10
TREM2,2,0.8286789545677129,1.0455063853593698,10
PLA2G7,4,0.8043710512374811,0.928346109673422,10
FDX1,4,0.781311733826459,0.8748779246941327,10
CD63,2,0.8258366594922462,0.8728512860964786,10
CYP27A1,2,0.7704788429076004,0.8641468759583053,10
SDC2,6,0.7816254411017511,0.8606577489598173,10
FABP5,3,0.6967171334209551,0.8352571330784984,10
EMP1,2,0.791156374306136,0.8194045937121059,10
GM2A,4,0.800984791824538,0.811938875732388,10
DBI,3,0.7576872210059501,0.796424343247234,10
BRI3,2,0.7734744945953573,0.7924915433641089,10
CALM3,5,0.7663028292895798,0.779088811468884,10
NPC2,2,0.8235593553014662,0.6989197037063444,10
BCAP31,3,0.7683374342987391,0.6958862904959848,10
CTSK,2,0.6833647886773144,0.6933359542395209,10
LILRB4,2,0.7570566871139901,0.6790283665807421,10
HCST,2,0.7060295150572582,0.6576336461868661,10
FNIP2,2,0.7574362073704661,0.6568054965705905,10
RNF130,3,0.7362994063296413,0.6077913024183956,10
SCARB2,2,0.7421568732272368,0.6051405946522802,10
VAT1,2,0.7496184948073075,0.5938622031315106,10
CIR1,2,0.6627428466036094,0.5836767452375763,10
MATK,5,0.747975151372179,0.5624618910405422,10
MGLL,3,0.7473271673208085,0.5428088385603682,10
ALCAM,2,0.7297518722573779,0.5393411777652954,10
TM4SF19,5,0.7263723792217953,0.5277871936077068,10
ITGB1BP1,4,0.723035789850776,0.5064059877296874,10
NDUFB9,3,0.7074359349556634,0.5022513313465496,10
CD36,3,0.6806332523526597,0.4979205457768996,10
NR1H3,2,0.7261262456145945,0.4910673996724058,10
SMIM3,2,0.7330011689254725,0.4906936918958345,10
FAM96A,3,0.7225587352055837,0.4841707297015232,10
CYSTM1,2,0.7027517916415245,0.4739177463047268,10
FKBP1A,2,0.6705612589581134,0.47243210242357314,10
BCAT1,2,0.7160769429103281,0.4676249669002881,10
ARID5B,3,0.7147519922015483,0.4640638449891126,10
OTOA,4,0.7264499756023834,0.4584193972572594,10
CAMK1,2,0.7040680590045543,0.4562614278864102,10
RDX,2,0.6834798033284185,0.4212466885616868,10
RARRES1,3,0.671001963815563,0.41940951604622934,10
