Gene,CGP
SYNPO,17
SYNPO2,17
TBC1D4,17
TIFAB,17
TNFRSF11A,17
TNFRSF9,17
TRAF1,17
TREML1,17
TRIP10,17
TVP23A,17
UBD,17
ZEB1,17
ARHGEF39,18
ASF1B,18
ATAD2,18
ATAD5,18
AURKB,18
BARD1,18
BIRC5,18
BRCA1,18
C19orf48,18
CCDC34,18
CCNB1,18
CCNB2,18
CCNE2,18
CDC25A,18
CDC25C,18
CDCA3,18
CDCA5,18
CDCA8,18
CDK1,18
CDKN3,18
CDT1,18
CENPA,18
CENPF,18
CENPH,18
CENPK,18
CENPM,18
CENPU,18
CEP55,18
CHEK1,18
CKAP2L,18
CLSPN,18
DHFR,18
DNAJC9,18
DTL,18
DUT,18
E2F1,18
ESCO2,18
FAM111B,18
FANCI,18
FEN1,18
GINS1,18
GINS2,18
GMNN,18
HELLS,18
HIST1H4C,18
HMMR,18
KIAA0101,18
KIFC1,18
LIG1,18
MAD2L1,18
MCM10,18
MCM2,18
MCM3,18
MCM4,18
MCM6,18
MCM7,18
MCM8,18
MELK,18
MKI67,18
MND1,18
NCAPG,18
NCAPG2,18
NDC80,18
NUSAP1,18
ORC6,18
PCNA,18
PHGDH,18
PKMYT1,18
POC1A,18
PRC1,18
PRIM1,18
RAD51AP1,18
RFC4,18
RMI2,18
RNASEH2A,18
RRM1,18
RRM2,18
SAC3D1,18
SHCBP1,18
SKA1,18
SLFN13,18
SMC2,18
TCF19,18
TK1,18
TMEM106C,18
TOP2A,18
TPX2,18
TRIP13,18
TROAP,18
TYMS,18
UBE2C,18
UBE2T,18
UHRF1,18
WDR76,18
ZWINT,18
ARHGAP29,19
BATF2,19
CCL4,19
CCL4L2,19
CXCL10,19
CXCL11,19
GBP1,19
GBP4,19
GBP5,19
GCH1,19
HAPLN3,19
IL27,19
LRG1,19
NINJ1,19
OSGIN1,19
RARRES3,19
SLAMF7,19
SLC2A6,19
SOD2,19
TNFAIP6,19
VAMP5,19
WARS,19
A2M,2
ADORA3,2
BNC2,2
CCDC152,2
CCL13,2
CCL2,2
CD163L1,2
CD209,2
CFH,2
CMKLR1,2
CNRIP1,2
CRYBB1,2
CXCL12,2
CYBRD1,2
DEPTOR,2
DIP2C,2
ECM1,2
EMB,2
ENPP2,2
ETV5,2
F13A1,2
FARP1,2
FCGBP,2
FOLR2,2
GAL3ST4,2
GAS6,2
GATM,2
GFRA2,2
GPR155,2
GPR34,2
HPGDS,2
IGF1,2
IGFBP4,2
IGSF21,2
IL2RA,2
LGMN,2
LILRB5,2
LPAR5,2
LPAR6,2
LTC4S,2
LYVE1,2
MAF,2
MAMDC2,2
ME1,2
MERTK,2
NRP1,2
OLFML2B,2
OLFML3,2
PDK4,2
PLTP,2
RAB3IL1,2
RBP1,2
RGL1,2
RNASE1,2
SCN1B,2
SDC3,2
SEPP1,2
SLC12A5,2
SLC18B1,2
SLC40A1,2
SLC7A8,2
SLCO2B1,2
STAB1,2
STARD13,2
TMEM176A,2
TMEM236,2
TMEM37,2
TMIGD3,2
TPCN1,2
WLS,2
AUTS2,20
BATF3,20
BIK,20
BTLA,20
C1orf21,20
C1orf54,20
CADM1,20
CALCRL,20
CARD11,20
CBFA2T3,20
CCND1,20
CCSER1,20
CD226,20
CLEC1A,20
CLEC9A,20
CLNK,20
CPNE3,20
CPVL,20
CST3,20
CYYR1,20
DBN1,20
DMD,20
DNASE1L3,20
DPP4,20
DUSP4,20
EGLN3,20
ENPP1,20
FAM46C,20
FKBP1B,20
FLT3,20
GCSAM,20
GNAO1,20
HDAC9,20
HLA-DOB,20
IDO1,20
IRF8,20
KIF16B,20
LAG3,20
LGALS2,20
LINC01010,20
MAGEF1,20
MAP4K1,20
MYBL1,20
NAAA,20
NET1,20
NFATC2,20
P2RY14,20
P2RY6,20
PARM1,20
PAWR,20
PDCD1,20
PLCD1,20
PLEKHA5,20
PNMA1,20
PPP1R3G,20
RAB33A,20
RAB7B,20
RAMP1,20
ROBO1,20
S100B,20
SEMA7A,20
SERPINF2,20
SLAMF7,20
SLC2A1,20
SNX22,20
SNX3,20
TACSTD2,20
TMEM14A,20
TOX,20
VMO1,20
WDFY4,20
XCR1,20
ZEB1,20
ZNF366,20
ABCG1,3
ACACB,3
ACO1,3
AKAP5,3
AKR1C2,3
ALPK3,3
AMIGO2,3
AOC3,3
ARHGEF28,3
ARHGEF35,3
ARHGEF5,3
ATL1,3
ATP10A,3
ATP6AP1L,3
BCAR1,3
C8B,3
CACNB3,3
CD101,3
CD5L,3
CDC42BPB,3
CHDH,3
CHRM3,3
CORO2A,3
CPE,3
CXCL5,3
DIXDC1,3
DTX4,3
ENPP5,3
EPB41L4A,3
FAM3B,3
FAM89A,3
FFAR4,3
FGD5,3
FHL1,3
GALNT12,3
GLDN,3
GPA33,3
GPD1,3
HOXB6,3
HOXB7,3
IGFBP2,3
IL17RB,3
INHBA,3
IQSEC3,3
ITGB8,3
ITIH5,3
KCNA3,3
KCNAB1,3
KLHL29,3
LSAMP,3
MACC1,3
MGAT3,3
MLPH,3
MME,3
MOGAT1,3
MYO6,3
PAQR5,3
PCOLCE2,3
PDGFD,3
PPIC,3
PRSS21,3
PVALB,3
RBP4,3
RND3,3
RSPO3,3
SCD,3
SLC19A3,3
SLC1A7,3
SLC47A1,3
SOBP,3
SPOCD1,3
STAC,3
STON1,3
TANC2,3
TGM2,3
TMEM74B,3
TRHDE,3
TRPC6,3
TTC39B,3
VGLL3,3
WDR49,3
ZBTB7C,3
AEBP1,4
AR,4
ASIP,4
AZIN2,4
BCL11A,4
BCL7A,4
BLNK,4
C12orf75,4
C1orf186,4
CARD11,4
CDCA7L,4
CLEC4C,4
CLIC3,4
CLN8,4
CRYM,4
CXCR3,4
CYB561A3,4
DERL3,4
EGLN3,4
EPHB1,4
FADS2,4
FLNB,4
FUZ,4
GNG7,4
GPM6B,4
GZMB,4
IRF4,4
IRF7,4
ITM2C,4
JCHAIN,4
KRT5,4
LAMP5,4
LDLRAD4,4
LILRA4,4
LINC00996,4
LINC01215,4
LPIN1,4
LTB,4
LY9,4
MAP1A,4
MYB,4
MYBL2,4
MZB1,4
NEK8,4
NOTCH4,4
PCDH9,4
PIM2,4
PLD4,4
PLVAP,4
PMEPA1,4
PPP1R14B,4
PTCRA,4
PTGDS,4
PTPRS,4
RASD1,4
SCAMP5,4
SCN9A,4
SEL1L3,4
SELL,4
SERPINF1,4
SIDT1,4
SIT1,4
SLC7A5,4
SMPD3,4
SOX4,4
SPIB,4
SPON2,4
TCF4,4
TMEM8B,4
TPM2,4
TRAF4,4
TSPAN13,4
TSPYL2,4
UGCG,4
ZNF891,4
ABCC4,5
ADAM28,5
AFF3,5
AXL,5
BANK1,5
BCL2,5
BCL7A,5
BCO2,5
C3,5
CACNA2D3,5
CCL17,5
CCND2,5
CCR6,5
CD1C,5
CD1E,5
CEACAM4,5
CLDN1,5
CLEC10A,5
CLEC5A,5
CLECL1,5
CNFN,5
CSGALNACT1,5
CST7,5
CX3CR1,5
CYP2S1,5
DEPTOR,5
DNASE1L3,5
ENTPD1,5
ETV5,5
FAM159A,5
FCER1A,5
FCGR2B,5
FILIP1L,5
FLT3,5
GHRL,5
GPAT3,5
GPX7,5
GSTM3,5
